StoreNo,StationAddress,BusDate,DayName,Week,Month,Period,Year,Account,RetailPrice,SalesUnits,GrossProfit,RawMargin
0000,The site,2021-01-01,Fri,1,Jan,2021-01,2021,2Mid-Grade,2.6590,275.20,185.70,0.6748
0000,The site,2021-01-01,Fri,1,Jan,2021-01,2021,3Premium,2.7590,970.57,677.71,0.6983
0000,The site,2021-01-02,Sat,1,Jan,2021-01,2021,1Regular,2.1590,"9,069.64","1,870.84",0.2063
0000,The site,2021-01-02,Sat,1,Jan,2021-01,2021,2Mid-Grade,2.6590,495.51,308.60,0.6228
0000,The site,2021-01-02,Sat,1,Jan,2021-01,2021,3Premium,2.7590,"1,412.42",964.31,0.6827
0000,The site,2021-01-03,Sun,2,Jan,2021-01,2021,1Regular,2.1590,"7,892.84","1,537.62",0.1948
0000,The site,2021-01-03,Sun,2,Jan,2021-01,2021,2Mid-Grade,2.6590,443.93,295.02,0.6646
0000,The site,2021-01-03,Sun,2,Jan,2021-01,2021,3Premium,2.7590,"1,211.07",825.52,0.6816
0000,The site,2021-01-04,Mon,2,Jan,2021-01,2021,1Regular,2.1590,"7,890.66","1,577.24",0.1999
0000,The site,2021-01-04,Mon,2,Jan,2021-01,2021,2Mid-Grade,2.6590,527.66,350.70,0.6646
0000,The site,2021-01-04,Mon,2,Jan,2021-01,2021,3Premium,2.7590,"1,454.57","1,000.68",0.6880
0000,The site,2021-01-05,Tue,2,Jan,2021-01,2021,1Regular,2.1590,"7,961.36","1,733.31",0.2177
0000,The site,2021-01-05,Tue,2,Jan,2021-01,2021,2Mid-Grade,2.6590,378.95,256.22,0.6761
0000,The site,2021-01-05,Tue,2,Jan,2021-01,2021,3Premium,2.7590,"1,049.23",714.79,0.6813
0000,The site,2021-01-06,Wed,2,Jan,2021-01,2021,1Regular,2.1590,"7,395.92","1,524.74",0.2062
0000,The site,2021-01-06,Wed,2,Jan,2021-01,2021,2Mid-Grade,2.6590,334.61,222.00,0.6635
0000,The site,2021-01-06,Wed,2,Jan,2021-01,2021,3Premium,2.7590,871.45,597.22,0.6853
0000,The site,2021-01-07,Thu,2,Jan,2021-01,2021,1Regular,2.1990,"7,645.40","1,375.75",0.1799
0000,The site,2021-01-07,Thu,2,Jan,2021-01,2021,2Mid-Grade,2.6990,510.91,326.64,0.6393
0000,The site,2021-01-07,Thu,2,Jan,2021-01,2021,3Premium,2.7990,"1,156.80",762.55,0.6592
0000,The site,2021-01-08,Fri,2,Jan,2021-01,2021,1Regular,2.1990,"8,511.50","1,753.57",0.2060
0000,The site,2021-01-08,Fri,2,Jan,2021-01,2021,2Mid-Grade,2.6990,317.06,213.74,0.6741
0000,The site,2021-01-08,Fri,2,Jan,2021-01,2021,3Premium,2.7990,"1,220.70",854.04,0.6996
0000,The site,2021-01-09,Sat,2,Jan,2021-01,2021,1Regular,2.1990,"9,152.13","2,422.27",0.2647
0000,The site,2021-01-09,Sat,2,Jan,2021-01,2021,2Mid-Grade,2.6990,565.15,410.97,0.7272
0000,The site,2021-01-09,Sat,2,Jan,2021-01,2021,3Premium,2.7990,"1,314.87","1,003.73",0.7634
0000,The site,2021-01-10,Sun,3,Jan,2021-01,2021,1Regular,2.1990,"8,622.90","1,715.89",0.1990
0000,The site,2021-01-10,Sun,3,Jan,2021-01,2021,2Mid-Grade,2.6990,427.96,293.28,0.6853
0000,The site,2021-01-10,Sun,3,Jan,2021-01,2021,3Premium,2.7990,"1,352.59","1,012.14",0.7483
0000,The site,2021-01-11,Mon,3,Jan,2021-01,2021,1Regular,2.2590,"7,723.46","1,498.02",0.1940
0000,The site,2021-01-11,Mon,3,Jan,2021-01,2021,2Mid-Grade,2.7590,371.66,248.84,0.6695
0000,The site,2021-01-11,Mon,3,Jan,2021-01,2021,3Premium,2.8590,965.41,709.54,0.7350
0000,The site,2021-01-12,Tue,3,Jan,2021-01,2021,1Regular,2.2590,"7,523.74","1,572.75",0.2090
0000,The site,2021-01-12,Tue,3,Jan,2021-01,2021,2Mid-Grade,2.7590,359.83,246.06,0.6838
0000,The site,2021-01-12,Tue,3,Jan,2021-01,2021,3Premium,2.8590,"1,077.81",808.15,0.7498
0000,The site,2021-01-13,Wed,3,Jan,2021-01,2021,1Regular,2.2990,"7,173.53","1,434.77",0.2000
0000,The site,2021-01-13,Wed,3,Jan,2021-01,2021,2Mid-Grade,2.7990,285.74,195.08,0.6827
0000,The site,2021-01-13,Wed,3,Jan,2021-01,2021,3Premium,2.8990,"1,092.41",812.63,0.7439
0000,The site,2021-01-14,Thu,3,Jan,2021-01,2021,1Regular,2.2990,"7,798.66","1,507.19",0.1933
0000,The site,2021-01-14,Thu,3,Jan,2021-01,2021,2Mid-Grade,2.7990,469.71,311.48,0.6631
